Block,Time,Scheduled MW
1,00:00,0.0
2,00:15,0.0
3,00:30,0.0
4,00:45,0.0
5,01:00,0.0
6,01:15,0.0
7,01:30,0.0
8,01:45,0.0
9,02:00,0.0
10,02:15,0.0
11,02:30,0.0
12,02:45,0.0
13,03:00,0.0
14,03:15,0.0
15,03:30,0.0
16,03:45,0.0
17,04:00,0.0
18,04:15,0.0
19,04:30,0.0
20,04:45,0.0
21,05:00,0.0
22,05:15,0.0
23,05:30,0.0
24,05:45,0.0
25,06:00,0.0
26,06:15,0.03
27,06:30,0.1
28,06:45,0.2
29,07:00,0.33
30,07:15,0.44
31,07:30,0.53
32,07:45,0.64
33,08:00,0.76
34,08:15,0.87
35,08:30,1.04
36,08:45,1.2
37,09:00,1.2
38,09:15,1.38
39,09:30,1.4
40,09:45,1.47
41,10:00,1.44
42,10:15,1.46
43,10:30,1.47
44,10:45,1.53
45,11:00,1.55
46,11:15,1.6
47,11:30,1.71
48,11:45,1.95
49,12:00,2.01
50,12:15,2.23
51,12:30,1.99
52,12:45,1.81
53,13:00,1.82
54,13:15,1.59
55,13:30,1.58
56,13:45,1.78
57,14:00,1.82
58,14:15,1.98
59,14:30,1.95
60,14:45,1.86
61,15:00,1.8
62,15:15,1.66
63,15:30,1.73
64,15:45,1.64
65,16:00,1.68
66,16:15,1.53
67,16:30,1.16
68,16:45,0.99
69,17:00,0.64
70,17:15,0.54
71,17:30,0.43
72,17:45,0.33
73,18:00,0.23
74,18:15,0.14
75,18:30,0.06
76,18:45,0.01
77,19:00,0.0
78,19:15,0.0
79,19:30,0.0
80,19:45,0.0
81,20:00,0.0
82,20:15,0.0
83,20:30,0.0
84,20:45,0.0
85,21:00,0.0
86,21:15,0.0
87,21:30,0.0
88,21:45,0.0
89,22:00,0.0
90,22:15,0.0
91,22:30,0.0
92,22:45,0.0
93,23:00,0.0
94,23:15,0.0
95,23:30,0.0
96,23:45,0.0
