Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
1,00:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,2026-08-07T00:01:20+05:30,,1
2,00:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,2026-08-07T00:01:20+05:30,,1
3,00:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,2026-08-07T00:01:20+05:30,,1
4,00:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,2026-08-07T00:01:20+05:30,,1
5,01:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,2026-08-07T00:01:20+05:30,,1
6,01:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,2026-08-07T00:01:20+05:30,,1
7,01:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,2026-08-07T00:01:20+05:30,,1
8,01:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-05+0530.csv,2026-08-07T00:01:20+05:30,,1
9,02:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-35+0530.csv,2026-08-07T00:31:26+05:30,2026-08-07T02:01:26+05:30,9
10,02:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-00-35+0530.csv,2026-08-07T00:31:26+05:30,2026-08-07T02:01:26+05:30,9
