Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
1,00:00,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
2,00:15,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
3,00:30,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
4,00:45,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
5,01:00,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
6,01:15,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
7,01:30,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
8,01:45,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
9,02:00,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
10,02:15,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
11,02:30,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
12,02:45,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
13,03:00,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
14,03:15,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-01-15+0530.csv,2026-07-07T01:16:30+05:30,,1
15,03:30,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,2026-07-07T02:46:15+05:30,2026-07-07T03:31:15+05:30,15
16,03:45,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,2026-07-07T02:46:15+05:30,2026-07-07T03:31:15+05:30,15
17,04:00,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,2026-07-07T02:46:15+05:30,2026-07-07T03:31:15+05:30,15
18,04:15,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,2026-07-07T02:46:15+05:30,2026-07-07T03:31:15+05:30,15
19,04:30,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,2026-07-07T02:46:15+05:30,2026-07-07T03:31:15+05:30,15
20,04:45,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-02-45+0530.csv,2026-07-07T02:46:15+05:30,2026-07-07T03:31:15+05:30,15
21,05:00,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,2026-07-07T04:16:30+05:30,2026-07-07T05:01:30+05:30,21
22,05:15,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,2026-07-07T04:16:30+05:30,2026-07-07T05:01:30+05:30,21
23,05:30,0.0,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,2026-07-07T04:16:30+05:30,2026-07-07T05:01:30+05:30,21
24,05:45,0.01,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,2026-07-07T04:16:30+05:30,2026-07-07T05:01:30+05:30,21
25,06:00,0.04,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,2026-07-07T04:16:30+05:30,2026-07-07T05:01:30+05:30,21
26,06:15,0.1,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-04-15+0530.csv,2026-07-07T04:16:30+05:30,2026-07-07T05:01:30+05:30,21
27,06:30,0.23,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-05-45+0530.csv,2026-07-07T05:46:15+05:30,2026-07-07T06:31:15+05:30,27
