TimeStamp,Active Power (kW),POA (W/m2),GHI (W/m2),Wind Speed (m/s),Wind Direction (DEG.),AMB TEMP,MOD TEMP,Humidity
2026-07-01 10:00:00,1850.0,520.0,480.0,2.1,240,29.5,41.2,68
2026-07-01 10:15:00,1920.0,545.0,500.0,2.3,238,29.8,42.0,67
2026-07-01 10:30:00,2010.0,570.0,525.0,2.0,245,30.1,43.1,66
2026-07-01 10:45:00,1640.0,470.0,430.0,2.6,250,30.0,41.8,67
2026-07-01 11:00:00,2150.0,610.0,560.0,2.4,242,30.6,44.5,65
2026-07-01 11:15:00,2230.0,635.0,585.0,2.2,239,30.9,45.3,64
2026-07-01 11:30:00,2300.0,655.0,600.0,2.5,236,31.2,46.0,63
2026-07-01 11:45:00,1780.0,505.0,465.0,2.8,248,31.0,44.2,64
2026-07-01 12:00:00,2380.0,680.0,625.0,2.3,241,31.6,47.1,62
2026-07-01 12:15:00,2410.0,690.0,635.0,2.1,237,31.8,47.6,61
