block_hour,horizon_min,kt_now,final_forecast_kw,residual_kw,date
14.5,15,,1891.7453709987299,539.3472956679364,2026-07-09
14.75,30,,1721.1237011549088,260.75029884509115,2026-07-09
15.0,45,,1550.95876247794,946.0605708553933,2026-07-09
15.25,60,,1409.567093443124,335.381573223543,2026-07-09
15.5,75,,1268.579456514881,284.76854348511836,2026-07-09
15.75,90,,1129.2827685312593,256.38989813540735,2026-07-09
16.0,105,,1014.0664866775182,33.828179989148445,2026-07-09
16.25,120,,899.0435204447979,619.607146221869,2026-07-09
16.5,135,,785.2364817875781,681.3981848790883,2026-07-09
16.75,150,,673.7150039249192,573.4209960750803,2026-07-09
17.0,165,,578.468278531634,428.621721468366,2026-07-09
17.25,180,,472.90508632420807,470.21091367579186,2026-07-09
17.5,195,,382.06782073889474,361.96484592777193,2026-07-09
17.75,210,,288.1843428447451,340.6263238219215,2026-07-09
18.0,225,,208.73605546787292,239.269944532127,2026-07-09
18.25,240,,134.55729977951918,180.0300335538141,2026-07-09
18.5,255,,76.70123253267421,126.0641008006591,2026-07-09
18.75,270,,37.6270360103982,72.52363065626841,2026-07-09
